Date,Open,High,Low,Close,Adj_Close,Volume_in_mln
2019-03-01,2798.22,2860.31,2722.27,2834.4,2834.4,79159.66
2019-02-01,2702.32,2813.49,2681.83,2784.49,2784.49,70638.77
2019-01-01,2476.96,2708.95,2443.96,2704.1,2704.1,80859.87
2018-12-01,2790.5,2800.18,2346.58,2506.85,2506.85,84162.18
2018-11-01,2717.58,2815.15,2631.09,2760.17,2760.17,80620.02
2018-10-01,2926.29,2939.86,2603.54,2711.74,2711.74,91930.98
2018-09-01,2896.96,2940.91,2864.12,2913.98,2913.98,63031.51
2018-08-01,2821.17,2916.5,2796.34,2901.52,2901.52,69523.07
2018-07-01,2704.95,2848.03,2698.95,2816.29,2816.29,64898.3
2018-06-01,2718.7,2791.47,2691.99,2718.37,2718.37,77891.36
2018-05-01,2642.96,2742.24,2594.62,2705.27,2705.27,76011.82
2018-04-01,2633.45,2717.49,2553.8,2648.05,2648.05,70194.7
2018-03-01,2715.22,2801.9,2585.89,2640.87,2640.87,76803.89
2018-02-01,2816.45,2835.96,2532.69,2713.83,2713.83,79933.97
2018-01-01,2683.73,2872.87,2682.36,2823.81,2823.81,77318.69
2017-12-01,2645.1,2694.97,2605.52,2673.61,2673.61,65531.7
2017-11-01,2583.21,2657.74,2557.45,2647.58,2647.58,73416.96
2017-10-01,2521.2,2582.98,2520.4,2575.26,2575.26,71088.55
2017-09-01,2474.42,2519.44,2446.55,2519.36,2519.36,66624.12
2017-08-01,2477.1,2490.87,2417.35,2471.65,2471.65,70784.9
2017-07-01,2431.39,2484.04,2407.7,2470.3,2470.3,63348.09
2017-06-01,2415.65,2453.82,2405.7,2423.41,2423.41,81078.81
2017-05-01,2388.5,2418.71,2352.72,2411.8,2411.8,79719.46
2017-04-01,2362.34,2398.16,2328.95,2384.2,2384.2,65369.86
2017-03-01,2380.13,2400.98,2322.25,2362.72,2362.72,81664.01
2017-02-01,2285.59,2371.54,2271.65,2363.64,2363.64,69260.94
2017-01-01,2251.57,2300.99,2245.13,2278.87,2278.87,70576.42
2016-12-01,2200.17,2277.53,2187.44,2238.83,2238.83,75344.55
2016-11-01,2128.68,2214.1,2083.79,2198.81,2198.81,88445.38
2016-10-01,2164.33,2169.6,2114.72,2126.15,2126.15,72915.53
2016-09-01,2171.33,2187.87,2119.12,2168.27,2168.27,77023.62
2016-08-01,2173.15,2193.81,2147.58,2170.95,2170.95,75610.31
2016-07-01,2099.34,2177.09,2074.02,2173.6,2173.6,69530.25
2016-06-01,2093.94,2120.55,1991.68,2098.86,2098.86,86852.7
2016-05-01,2067.17,2103.48,2025.91,2096.95,2096.95,78883.6
2016-04-01,2056.62,2111.05,2033.8,2065.3,2065.3,81124.99
2016-03-01,1937.09,2072.21,1937.09,2059.74,2059.74,92639.42
2016-02-01,1936.94,1962.96,1810.1,1932.23,1932.23,93049.56
2016-01-01,2038.2,2038.2,1812.29,1940.24,1940.24,92409.77
2015-12-01,2082.93,2104.27,1993.26,2043.94,2043.94,83649.26
2015-11-01,2080.76,2116.48,2019.39,2080.41,2080.41,75943.59
2015-10-01,1919.65,2094.32,1893.7,2079.36,2079.36,85844.9
2015-09-01,1970.09,2020.86,1871.91,1920.03,1920.03,79989.37
2015-08-01,2104.49,2112.66,1867.01,1972.18,1972.18,84626.79
2015-07-01,2067,2132.82,2044.02,2103.84,2103.84,77920.59
2015-06-01,2108.64,2129.87,2056.32,2063.11,2063.11,73213.98
2015-05-01,2087.38,2134.72,2067.93,2107.39,2107.39,65187.73
2015-04-01,2067.63,2125.92,2048.38,2085.51,2085.51,72060.94
2015-03-01,2105.23,2117.52,2039.69,2067.89,2067.89,76675.85
2015-02-01,1996.67,2119.59,1980.9,2104.5,2104.5,68775.56
2015-01-01,2058.9,2072.36,1988.12,1994.99,1994.99,77330.04
2014-12-01,2065.78,2093.55,1972.56,2058.9,2058.9,80743.82
2014-11-01,2018.21,2075.76,2001.01,2067.56,2067.56,63600.19
2014-10-01,1971.44,2018.19,1820.66,2018.05,2018.05,93714.04
2014-09-01,2004.07,2019.26,1964.04,1972.29,1972.29,66706
2014-08-01,1929.8,2005.04,1904.78,2003.37,2003.37,58131.14
2014-07-01,1962.29,1991.39,1930.67,1930.67,1930.67,66524.69
2014-06-01,1923.87,1968.17,1915.98,1960.23,1960.23,63283.38
2014-05-01,1884.39,1924.03,1859.79,1923.57,1923.57,63623.63
2014-04-01,1873.96,1897.28,1814.36,1883.95,1883.95,71595.81
2014-03-01,1857.68,1883.97,1834.44,1872.34,1872.34,71885.03
2014-02-01,1782.68,1867.92,1737.92,1859.45,1859.45,69725.59
2014-01-01,1845.86,1850.84,1770.45,1782.59,1782.59,75871.91
2013-12-01,1806.55,1849.44,1767.99,1848.36,1848.36,64958.82
2013-11-01,1758.7,1813.55,1746.2,1805.81,1805.81,63628.19
2013-10-01,1682.41,1775.22,1646.47,1756.54,1756.54,76647.4
2013-09-01,1635.95,1729.86,1633.41,1681.55,1681.55,66174.41
2013-08-01,1689.42,1709.67,1627.47,1632.97,1632.97,64802.81
2013-07-01,1609.78,1698.78,1604.57,1685.73,1685.73,68106.82
2013-06-01,1631.71,1654.19,1560.33,1606.28,1606.28,74946.79
2013-05-01,1597.55,1687.18,1581.28,1630.74,1630.74,76447.25
2013-04-01,1569.18,1597.57,1536.03,1597.57,1597.57,77098
2013-03-01,1514.68,1570.28,1501.48,1569.19,1569.19,68527.11
2013-02-01,1498.11,1530.94,1485.01,1514.68,1514.68,69273.48
2013-01-01,1426.19,1509.94,1426.19,1498.11,1498.11,75848.51
2012-12-01,1416.34,1448,1398.11,1426.19,1426.19,66388.18
2012-11-01,1412.2,1434.27,1343.35,1416.18,1416.18,71489.31
2012-10-01,1440.9,1470.96,1403.28,1412.16,1412.16,71752.32
2012-09-01,1406.54,1474.51,1396.56,1440.67,1440.67,69784.28
2012-08-01,1379.32,1426.68,1354.65,1406.58,1406.58,70283.81
2012-07-01,1362.33,1391.74,1325.41,1379.32,1379.32,73103.81
2012-06-01,1309.87,1363.46,1266.74,1362.16,1362.16,81582.44
2012-05-01,1397.86,1415.32,1291.98,1310.33,1310.33,86920.49
2012-04-01,1408.47,1422.38,1357.38,1397.91,1397.91,74761.71
2012-03-01,1365.9,1419.15,1340.03,1408.47,1408.47,83899.66
2012-02-01,1312.45,1378.04,1312.45,1365.68,1365.68,78385.71
2012-01-01,1258.86,1333.47,1258.86,1312.41,1312.41,79567.56
2011-12-01,1246.91,1269.37,1202.37,1257.6,1257.6,74742.43
2011-11-01,1251,1277.55,1158.66,1246.96,1246.96,84275.05
2011-10-01,1131.21,1292.66,1074.77,1253.3,1253.3,98063.67
2011-09-01,1219.12,1229.29,1114.22,1131.42,1131.42,102786.82
2011-08-01,1292.59,1307.38,1101.54,1218.89,1218.89,108419.17
2011-07-01,1320.64,1356.48,1282.86,1292.28,1292.28,81102.17
2011-06-01,1345.2,1345.2,1258.07,1320.64,1320.64,86122.73
2011-05-01,1365.21,1370.58,1311.8,1345.2,1345.2,81708.98
2011-04-01,1329.48,1364.56,1294.7,1363.61,1363.61,77364.81
2011-03-01,1328.64,1332.28,1249.05,1325.83,1325.83,89507.64
2011-02-01,1289.14,1344.07,1289.14,1327.22,1327.22,59223.66
2011-01-01,1257.62,1302.67,1257.62,1286.12,1286.12,92164.94
2010-12-01,1186.6,1262.6,1186.6,1257.64,1257.64,80984.53
2010-11-01,1185.71,1227.08,1173,1180.55,1180.55,87151.07
2010-10-01,1143.49,1196.14,1131.87,1183.26,1183.26,89536.27
2010-09-01,1049.72,1157.16,1049.72,1141.2,1141.2,79589.45
2010-08-01,1107.53,1129.24,1039.7,1049.33,1049.33,85738.25
2010-07-01,1031.1,1120.95,1010.91,1101.6,1101.6,94778.11
2010-06-01,1087.3,1131.23,1028.33,1030.71,1030.71,110106.75
2010-05-01,1188.58,1205.13,1040.78,1089.41,1089.41,127662.78
2010-04-01,1171.23,1219.8,1170.69,1186.69,1186.69,116741.91
2010-03-01,1105.36,1180.69,1105.36,1169.43,1169.43,103683.55
2010-02-01,1073.89,1112.42,1044.5,1104.49,1104.49,84561.34
2010-01-01,1116.56,1150.45,1071.59,1073.87,1073.87,90947.58
2009-12-01,1098.89,1130.38,1085.89,1115.1,1115.1,89515.33
2009-11-01,1036.18,1113.69,1029.38,1095.63,1095.63,84981.53
2009-10-01,1054.91,1101.36,1019.95,1036.19,1036.19,113410.99
2009-09-01,1019.52,1080.15,991.97,1057.08,1057.08,112295.49
2009-08-01,990.22,1039.47,978.51,1020.62,1020.62,116059.27
2009-07-01,920.82,996.68,869.32,987.48,987.48,106635.79
2009-06-01,923.26,956.23,888.86,919.32,919.32,112653.15
2009-05-01,872.74,930.17,866.1,919.14,919.14,131614.94
2009-04-01,793.59,888.7,783.32,872.81,872.81,138855.32
2009-03-01,729.57,832.98,666.79,797.87,797.87,161843.64
2009-02-01,823.09,875.01,734.52,735.09,735.09,124492.21
2009-01-01,902.99,943.85,804.3,825.88,825.88,112090.64
2008-12-01,888.61,918.85,815.69,903.25,903.25,112884.47
2008-11-01,968.67,1007.51,741.02,896.24,896.24,115660.21
2008-10-01,1164.17,1167.03,839.8,968.75,968.75,159823.03
2008-09-01,1287.83,1303.04,1106.42,1166.36,1166.36,140007.32
2008-08-01,1269.42,1313.15,1247.45,1282.83,1282.83,86266.01
2008-07-01,1276.69,1292.17,1200.44,1267.38,1267.38,124980.57
2008-06-01,1399.62,1404.05,1272,1280,1280,96614.04
2008-05-01,1385.97,1440.24,1373.07,1400.38,1400.38,80990.48
2008-04-01,1326.41,1404.57,1324.35,1385.59,1385.59,85978.63
2008-03-01,1330.45,1359.68,1256.98,1322.7,1322.7,93189.17
2008-02-01,1378.6,1396.02,1316.75,1330.63,1330.63,78536.13
2008-01-01,1467.97,1471.77,1270.05,1378.55,1378.55,98475.34
2007-12-01,1479.63,1523.57,1435.65,1468.36,1468.36,64821.67
2007-11-01,1545.79,1545.79,1406.1,1481.14,1481.14,86246.95
2007-10-01,1527.29,1576.09,1489.56,1549.38,1549.38,76022.58
2007-09-01,1473.96,1538.74,1439.29,1526.75,1526.75,57809.7
2007-08-01,1455.18,1503.89,1370.6,1473.99,1473.99,91381.76
2007-07-01,1504.66,1555.9,1454.25,1455.27,1455.27,70337.43
2007-06-01,1530.62,1540.56,1484.18,1503.35,1503.35,65322.8
2007-05-01,1482.37,1535.56,1476.7,1530.62,1530.62,64958.05
2007-04-01,1420.83,1498.02,1416.37,1482.37,1482.37,57032.47
2007-03-01,1406.8,1438.89,1363.98,1420.86,1420.86,67622.25
2007-02-01,1437.9,1461.57,1389.42,1406.82,1406.82,51844.99
2007-01-01,1418.03,1441.61,1403.97,1438.24,1438.24,56686.2
2006-12-01,1400.63,1431.81,1385.93,1418.3,1418.3,47578.78
2006-11-01,1377.76,1407.89,1360.98,1400.63,1400.63,55343.93
2006-10-01,1335.82,1389.45,1327.1,1377.94,1377.94,56793.62
2006-09-01,1303.8,1340.28,1290.93,1335.85,1335.85,49001.44
2006-08-01,1278.53,1306.74,1261.3,1303.82,1303.82,50485.62
2006-07-01,1270.06,1280.42,1224.54,1276.66,1276.66,46348.22
2006-06-01,1270.05,1290.68,1219.29,1270.2,1270.2,54873.26
2006-05-01,1310.61,1326.7,1245.34,1270.09,1270.09,54312.83
2006-04-01,1302.88,1318.16,1280.74,1310.61,1310.61,43308.43
2006-03-01,1280.66,1310.88,1268.42,1294.87,1294.87,50905.04
2006-02-01,1280.08,1297.57,1253.61,1280.66,1280.66,42859.94
2006-01-01,1248.29,1294.9,1245.74,1280.08,1280.08,49211.65
2005-12-01,1249.48,1275.8,1246.59,1248.29,1248.29,41756.13
2005-11-01,1207.01,1270.64,1201.07,1249.48,1249.48,45102.87
2005-10-01,1228.81,1233.34,1168.2,1207.01,1207.01,49793.79
2005-09-01,1220.33,1243.13,1205.35,1228.81,1228.81,44777.51
2005-08-01,1234.18,1245.86,1201.07,1220.33,1220.33,42030.09
2005-07-01,1191.33,1245.15,1183.55,1234.18,1234.18,37464.67
2005-06-01,1191.5,1219.59,1188.3,1191.33,1191.33,40334.04
2005-05-01,1156.85,1199.56,1146.18,1191.5,1191.5,39321.99
2005-04-01,1180.59,1191.88,1136.15,1156.85,1156.85,43424.27
2005-03-01,1203.6,1229.11,1163.69,1180.59,1180.59,39014.15
2005-02-01,1181.27,1212.44,1180.95,1203.6,1203.6,29297.41
2005-01-01,1211.92,1217.8,1163.75,1181.27,1181.27,31498.8
2004-12-01,1173.78,1217.33,1173.78,1211.92,1211.92,31102.5
2004-11-01,1130.2,1188.46,1127.6,1173.82,1173.82,30460.28
2004-10-01,1114.58,1142.05,1090.29,1130.2,1130.2,31511
2004-09-01,1104.24,1131.54,1099.18,1114.58,1114.58,26829.87
2004-08-01,1101.72,1109.68,1060.72,1104.24,1104.24,26586.8
2004-07-01,1140.84,1140.84,1078.78,1101.72,1101.72,29285.6
2004-06-01,1120.68,1146.34,1113.32,1140.84,1140.84,27529.5
2004-05-01,1107.3,1127.74,1076.32,1120.68,1120.68,29326.4
2004-04-01,1126.21,1150.57,1107.23,1107.3,1107.3,31611.9
2004-03-01,1144.94,1163.23,1087.16,1126.21,1126.21,33597.9
2004-02-01,1131.13,1158.98,1124.44,1144.94,1144.94,27985.6
2004-01-01,1111.92,1155.38,1105.08,1131.13,1131.13,32820
2003-12-01,1058.2,1112.56,1053.41,1111.92,1111.92,27839.13
2003-11-01,1050.71,1063.65,1031.2,1058.2,1058.2,24463.22
2003-10-01,995.97,1053.79,995.97,1050.71,1050.71,32298.5
2003-09-01,1008.01,1040.29,990.36,995.97,995.97,29940.11
2003-08-01,990.31,1011.01,960.84,1008.01,1008.01,24881.47
2003-07-01,974.5,1015.41,962.1,990.31,990.31,31553.2
2003-06-01,963.59,1015.33,963.59,974.5,974.5,31219.4
2003-05-01,916.92,965.38,902.83,963.59,963.59,30952.1
2003-04-01,848.18,924.24,847.85,916.92,916.92,29669.61
2003-03-01,841.15,895.9,788.9,848.18,848.18,30080.03
2003-02-01,855.7,864.64,806.29,841.15,841.15,25235.3
2003-01-01,879.82,935.05,840.34,855.7,855.7,30749.58
2002-12-01,936.31,954.28,869.45,879.82,879.82,25993.64
2002-11-01,885.76,941.82,872.05,936.31,936.31,29200.96
2002-10-01,815.28,907.44,768.63,885.76,885.76,37856.31
2002-09-01,916.07,924.02,800.2,815.28,815.28,27723.71
2002-08-01,911.62,965,833.44,916.07,916.07,29298.4
2002-07-01,989.82,994.46,775.68,911.62,911.62,42228.72
2002-06-01,1067.14,1070.74,952.92,989.82,989.82,29981.51
2002-05-01,1076.92,1106.59,1048.96,1067.14,1067.14,26905.5
2002-04-01,1147.39,1147.84,1063.46,1076.92,1076.92,28568.9
2002-03-01,1106.73,1173.94,1106.73,1147.39,1147.39,26563.2
2002-02-01,1130.2,1130.2,1074.36,1106.73,1106.73,26047.6
2002-01-01,1148.08,1176.97,1081.66,1130.2,1130.2,29746.2
2001-12-01,1139.45,1173.62,1114.53,1148.08,1148.08,25128.57
2001-11-01,1059.78,1163.38,1054.31,1139.45,1139.45,26330
2001-10-01,1040.94,1110.61,1026.76,1059.78,1059.78,29951.28
2001-09-01,1133.58,1155.4,944.75,1040.94,1040.94,25025.29
2001-08-01,1211.23,1226.27,1124.87,1133.58,1133.58,23359.2
2001-07-01,1224.42,1239.78,1165.54,1211.23,1211.23,23793.71
2001-06-01,1255.82,1286.62,1203.03,1224.38,1224.38,24748.03
2001-05-01,1249.46,1315.93,1232,1255.82,1255.82,24525.9
2001-04-01,1160.33,1269.3,1091.99,1249.46,1249.46,25409.99
2001-03-01,1239.94,1267.42,1081.19,1160.33,1160.33,27806.61
2001-02-01,1366.01,1376.38,1215.44,1239.94,1239.94,21644.4
2001-01-01,1320.28,1383.37,1274.62,1366.01,1366.01,27829.8
2000-12-01,1314.95,1389.05,1254.07,1320.28,1320.28,23610.8
2000-11-01,1429.4,1438.46,1294.9,1314.95,1314.95,20532.3
2000-10-01,1436.52,1454.82,1305.79,1429.4,1429.4,25951.4
2000-09-01,1517.68,1530.09,1419.44,1436.51,1436.51,20838.3
2000-08-01,1430.83,1525.21,1425.43,1517.68,1517.68,20363.7
2000-07-01,1454.6,1517.32,1413.89,1430.83,1430.83,19089.1
2000-06-01,1420.6,1488.93,1420.6,1454.6,1454.6,21738.3
2000-05-01,1452.43,1481.51,1361.09,1420.6,1420.6,19898.3
2000-04-01,1498.58,1527.19,1339.4,1452.43,1452.43,20106.46
2000-03-01,1366.42,1552.87,1346.62,1498.58,1498.58,26156.2
2000-02-01,1394.46,1444.55,1325.07,1366.42,1366.42,20912
2000-01-01,1469.25,1478,1350.14,1394.46,1394.46,21494.4
