DATE,M2,Open,High,Low,Close,Adj_Close,Volume_in_mln
2006-12-18,7092.8,1427.08,1431.81,1420.65,1422.48,1422.48,2568.14
2006-12-25,7111.2,1410.75,1417.91,1410.45,1416.9,1416.9,1310.31
2007-01-01,7127.8,1418.03,1429.42,1407.86,1416.6,1416.6,3429.16
2007-01-08,7145.1,1409.26,1414.98,1403.97,1412.84,1412.84,2763.34
2007-01-15,7138.0,1430.73,1433.93,1428.62,1431.9,1431.9,2599.53
2007-01-22,7083.9,1430.47,1431.39,1420.4,1422.95,1422.95,2540.12
2007-01-29,7029.6,1422.03,1426.94,1418.46,1420.62,1420.62,2730.48
2007-02-05,7096.4,1448.33,1449.38,1443.85,1446.99,1446.99,2439.43
2007-02-12,7098.1,1438.0,1439.11,1431.44,1433.37,1433.37,2395.68
2007-02-19,7112.7,1455.53,1460.53,1449.2,1459.68,1459.68,2337.86
2007-02-26,7114.9,1451.04,1456.95,1445.48,1449.37,1449.37,2822.17
2007-03-05,7165.7,1387.11,1391.86,1373.97,1374.12,1374.12,3480.52
2007-03-12,7187.8,1402.8,1409.34,1398.4,1406.6,1406.6,2664.0
2007-03-19,7211.0,1386.95,1403.2,1386.95,1402.06,1402.06,2777.18
2007-03-26,7210.3,1436.11,1437.65,1423.28,1437.5,1437.5,2754.66
2007-04-02,7268.9,1420.83,1425.49,1416.37,1424.55,1424.55,2875.88
2007-04-09,7334.5,1443.77,1448.1,1443.28,1444.61,1444.61,2349.41
2007-04-16,7345.6,1452.84,1468.62,1452.84,1468.33,1468.33,2870.14
2007-04-23,7292.5,1484.33,1487.32,1480.19,1480.93,1480.93,2575.02
2007-04-30,7207.1,1494.07,1497.16,1482.29,1482.37,1482.37,3093.42
2007-05-07,7251.4,1505.57,1511.0,1505.54,1509.48,1509.48,2545.09
2007-05-14,7251.8,1505.76,1510.9,1498.34,1503.15,1503.15,2776.13
2007-05-21,7240.9,1522.75,1529.87,1522.71,1525.1,1525.1,3465.36
2007-05-28,7218.2,1515.55,1521.8,1512.02,1518.11,1518.11,2571.79
2007-06-04,7286.8,1536.28,1540.53,1532.31,1539.18,1539.18,2738.93
2007-06-11,7295.4,1507.64,1515.53,1503.35,1509.12,1509.12,2525.28
2007-06-18,7305.5,1532.9,1535.44,1529.31,1531.05,1531.05,2480.24
2007-06-25,7243.9,1502.56,1514.29,1492.68,1497.74,1497.74,3287.25
2007-07-02,7291.0,1504.66,1519.45,1504.66,1519.43,1519.43,2648.99
2007-07-09,7318.7,1530.43,1534.26,1527.45,1531.85,1531.85,2715.33
2007-07-16,7303.4,1552.5,1555.9,1546.69,1549.52,1549.52,2704.11
2007-07-23,7261.3,1534.06,1547.23,1534.06,1541.57,1541.57,3102.7
2007-07-30,7251.2,1458.93,1477.88,1454.32,1473.91,1473.91,4128.78
2007-08-06,7330.8,1433.04,1467.67,1427.39,1467.67,1467.67,5067.2
2007-08-13,7333.5,1453.42,1466.29,1451.54,1452.92,1452.92,3696.28
2007-08-20,7358.1,1445.94,1451.75,1430.54,1445.55,1445.55,3321.34
2007-08-27,7357.4,1479.36,1479.36,1465.98,1466.79,1466.79,2406.18
2007-09-03,7380.6,1473.96,1496.4,1472.15,1489.42,1489.42,2766.6
2007-09-10,7393.3,1453.5,1462.25,1439.29,1451.7,1451.7,2835.72
2007-09-17,7395.0,1484.24,1484.24,1471.82,1476.65,1476.65,2598.39
2007-09-24,7321.5,1525.75,1530.18,1516.15,1517.73,1517.73,3131.31
2007-10-01,7346.7,1527.29,1549.02,1527.25,1547.04,1547.04,3281.99
2007-10-08,7396.7,1556.51,1556.51,1549.0,1552.58,1552.58,2040.65
2007-10-15,7395.4,1562.25,1564.74,1540.81,1548.71,1548.71,3139.29
2007-10-22,7357.7,1497.79,1508.06,1490.4,1506.33,1506.33,3471.83
2007-10-29,7359.7,1536.92,1544.67,1536.43,1540.98,1540.98,3124.48
2007-11-05,7418.0,1505.61,1510.84,1489.95,1502.17,1502.17,3819.33
2007-11-12,7419.4,1453.66,1464.94,1438.53,1439.18,1439.18,4192.52
2007-11-19,7448.0,1456.7,1456.7,1430.42,1433.27,1433.27,4119.65
2007-11-26,7444.0,1440.74,1446.09,1406.1,1407.22,1407.22,3706.47
2007-12-03,7468.6,1479.63,1481.16,1470.08,1472.42,1472.42,3323.25
2007-12-10,7492.7,1505.11,1518.27,1504.96,1515.96,1515.96,2911.76
2007-12-17,7505.3,1465.05,1465.05,1445.43,1445.9,1445.9,3569.03
2007-12-24,7501.9,1484.55,1497.63,1484.55,1496.45,1496.45,1267.42
2007-12-31,7514.5,1475.25,1475.83,1465.13,1468.36,1468.36,2440.88
2008-01-07,7539.3,1414.07,1423.87,1403.45,1416.18,1416.18,4221.26
2008-01-14,7505.6,1402.91,1417.89,1402.91,1416.25,1416.25,3682.09
2008-01-21,7496.6,1312.94,1322.09,1274.29,1310.5,1310.5,6544.69
2008-01-28,7471.4,1330.7,1353.97,1322.26,1353.96,1353.96,4100.93
2008-02-04,7549.0,1395.38,1395.38,1379.69,1380.82,1380.82,3495.78
2008-02-11,7565.9,1331.92,1341.4,1320.32,1339.13,1339.13,3593.14
2008-02-18,7581.4,1355.86,1367.28,1345.05,1348.78,1348.78,3613.55
2008-02-25,7590.6,1352.75,1374.36,1346.03,1371.8,1371.8,3866.35
2008-03-03,7650.2,1330.45,1335.13,1320.04,1331.34,1331.34,4117.57
2008-03-10,7693.5,1293.16,1295.01,1272.66,1273.37,1273.37,4261.24
2008-03-17,7734.0,1283.21,1287.5,1256.98,1276.6,1276.6,5683.01
2008-03-24,7724.2,1330.29,1359.68,1330.29,1349.88,1349.88,4499.0
2008-03-31,7733.1,1315.92,1328.52,1312.81,1322.7,1322.7,4188.99
2008-04-07,7812.7,1373.69,1386.74,1369.02,1372.54,1372.54,3747.78
2008-04-14,7815.8,1332.2,1335.64,1326.16,1328.32,1328.32,3565.02
2008-04-21,7804.0,1387.72,1390.23,1379.25,1388.17,1388.17,3420.57
2008-04-28,7671.0,1397.96,1402.9,1394.4,1396.37,1396.37,3607.0
2008-05-05,7699.4,1415.34,1415.34,1404.37,1407.49,1407.49,3410.09
2008-05-12,7708.6,1389.4,1404.06,1386.2,1403.58,1403.58,3370.63
2008-05-19,7712.7,1425.28,1440.24,1421.63,1426.63,1426.63,3683.97
2008-05-26,7693.9,1375.97,1387.4,1373.07,1385.35,1385.35,3588.86
2008-06-02,7728.9,1399.62,1399.62,1377.79,1385.67,1385.67,3714.32
2008-06-09,7756.1,1360.83,1370.63,1350.62,1361.76,1361.76,4404.57
2008-06-16,7761.5,1358.85,1364.7,1352.07,1360.14,1360.14,3706.94
2008-06-23,7703.2,1319.77,1323.78,1315.31,1318.0,1318.0,4186.37
2008-06-30,7697.8,1278.06,1290.31,1274.86,1280.0,1280.0,5032.33
2008-07-07,7780.8,1262.9,1273.95,1240.68,1252.31,1252.31,5265.42
2008-07-14,7761.2,1241.61,1253.5,1225.01,1228.3,1228.3,5434.86
2008-07-21,7745.7,1261.82,1267.74,1255.7,1260.0,1260.0,4630.64
2008-07-28,7705.9,1257.76,1260.09,1234.37,1234.37,1234.37,4282.96
2008-08-04,7759.4,1253.27,1260.49,1247.45,1249.01,1249.01,4562.28
2008-08-11,7760.4,1294.42,1313.15,1291.41,1305.32,1305.32,5067.31
2008-08-18,7749.5,1298.14,1300.22,1274.51,1278.6,1278.6,3829.29
2008-08-25,7709.7,1290.47,1290.47,1264.87,1266.84,1266.84,3420.6
2008-09-01,7722.8,1287.83,1303.04,1272.2,1277.58,1277.58,4783.56
2008-09-08,7754.1,1249.5,1274.42,1247.12,1267.79,1267.79,7351.34
2008-09-15,7772.3,1250.92,1250.92,1192.7,1192.7,1192.7,8279.51
